[2025-11-13 08:26:45] [INFO    ] discord.client: logging in using static token
[2025-11-13 08:26:45] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-11-13 08:26:45] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-11-13 08:26:45] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1396271675997163662', 'username': 'Professor B.', 'avatar': '4cd37bae90007024900a0b53b69cf05e', 'discriminator': '2989', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-11-13 08:26:45] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-11-13 08:26:45] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-11-13 08:26:45] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1396271675997163662', 'name': 'Professor B.', 'icon': '4cd37bae90007024900a0b53b69cf05e', 'description': 'Professor Bobby here.\n\nSpecializes in everything.', 'type': None, 'bot': {'id': '1396271675997163662', 'username': 'Professor B.', 'avatar': '4cd37bae90007024900a0b53b69cf05e', 'discriminator': '2989', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '60d9524c27b558b4864b66f1d8b9db56f80514ac748029b41542239f0164cbf3', 'flags': 8945664, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '587750401873412265', 'username': 'rysuri.com', 'avatar': 'c6fa901bd717b2d5ba0abc3e8d71a362', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': 1579292, 'global_name': 'rysuri', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#18191c', 'clan': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}, 'primary_guild': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}}, 'approximate_guild_count': 2, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 484, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 2, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-11-13 08:26:45] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-11-13 08:26:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-bs5n",{"micros":0.0}]']}}
[2025-11-13 08:26:45] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-11-13 08:26:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-13 08:26:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Professor B.', 'primary_guild': None, 'mfa_enabled': False, 'id': '1396271675997163662', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2989', 'clan': None, 'bot': True, 'avatar': '4cd37bae90007024900a0b53b69cf05e'}, 'session_type': 'normal', 'session_id': '231652765943c3b439a8530baa8f63fa', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '852677547980226560'}, {'unavailable': True, 'id': '1396273019902496829'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-west', 'santa-clara', 'oregon', 'seattle', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1396271675997163662', 'flags': 8945664}, '_trace': ['["gateway-prd-arm-us-east1-d-bs5n",{"micros":173458,"calls":["id_created",{"micros":504,"calls":[]},"session_lookup_time",{"micros":943,"calls":[]},"session_lookup_finished",{"micros":9,"calls":[]},"discord-sessions-prd-2-39",{"micros":170406,"calls":["start_session",{"micros":158655,"calls":["discord-api-rpc-7bb4cd58cb-2qq4p",{"micros":85391,"calls":["get_user",{"micros":5073},"get_guilds",{"micros":2283},"send_scheduled_deletion_message",{"micros":16},"guild_join_requests",{"micros":562},"authorized_ip_coro",{"micros":11},"pending_payments",{"micros":57609},"apex_experiments",{"micros":7261},"user_activities",{"micros":11},"played_application_ids",{"micros":7},"linked_users",{"micros":3}]}]},"starting_guild_connect",{"micros":33,"calls":[]},"presence_started",{"micros":1316,"calls":[]},"guilds_started",{"micros":119,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":10260,"calls":[]},"connect_finished",{"micros":10268,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-11-13 08:26:46] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-13 08:26:46] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 231652765943c3b439a8530baa8f63fa).
[2025-11-13 08:26:46] [DEBUG   ] discord.client: Dispatching event connect
